example_id,slice,prompt_variant,gt_answer,seed0_answer,seed1_answer,seed2_answer,seed_variance,n_correct,avg_trace_chars,max_trace_chars,avg_marker_count,any_truncated
2VYZeOa6804_clip_4,ACH_BQA,A_plain,No,yes,yes,yes,0,0,5029.3,11739,4.0,0
2VYZeOa6804_clip_4,ACH_BQA,B_cited,No,yes,yes,yes,0,0,3912.7,8828,2.33,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,A_plain,Yes,yes,yes,yes,0,3,1042.3,1532,0.0,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,B_cited,Yes,yes,yes,yes,0,3,1081.7,1129,0.0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,A_plain,Yes,yes,yes,yes,0,3,1174.0,1307,0.0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,B_cited,Yes,yes,yes,yes,0,3,1162.3,1301,0.0,0
2DvHUEFc5VA_clip_1,ACH_MCQ,A_plain,C,c,c,c,0,3,3977.3,7544,4.67,0
2DvHUEFc5VA_clip_1,ACH_MCQ,B_cited,C,c,c,c,0,3,1712.7,1908,1.33,0
QVe7NojAHjY_clip_9,ACH_MCQ,A_plain,A,a,a,a,0,3,1125.7,1254,0.0,0
QVe7NojAHjY_clip_9,ACH_MCQ,B_cited,A,a,a,a,0,3,1116.0,1251,0.0,0
TDWbRqIEcts_clip_11,ACH_MCQ,A_plain,C,c,c,c,0,3,1272.0,1399,0.0,0
TDWbRqIEcts_clip_11,ACH_MCQ,B_cited,C,c,c,c,0,3,1259.3,1347,0.0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,A_plain,B,b,b,b,0,3,1383.3,1485,0.0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,B_cited,B,b,b,b,0,3,1462.3,1679,0.0,0
0yT6ihPVX54_YY8r5R_scho,STH,A_plain,"Scene change: Yes, Locations: from on a stage to in a room","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage to a room.",0,0,2271.0,3073,1.0,0
0yT6ihPVX54_YY8r5R_scho,STH,B_cited,"Scene change: Yes, Locations: from on a stage to in a room","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage performance to a room with a fan.","scene change: yes, locations: from a stage to a room with a fan.",1,0,1959.7,2098,0.67,0
4GGUH7ykdCg_TYFkiyNIDWU,STH,A_plain,"Scene change: Yes, Locations: from on the grass to on the water","scene change: yes, locations: from a grassy field to a lake.","scene change: yes, locations: from a grassy field to a pond.","scene change: yes, locations: from a grassy area to a lake.",1,0,1622.7,2119,0.33,0
4GGUH7ykdCg_TYFkiyNIDWU,STH,B_cited,"Scene change: Yes, Locations: from on the grass to on the water","scene change: yes, locations: from a grassy area to a body of water.","scene change: yes, locations: from a grassy field to a lake.","scene change: yes, locations: from a grassy field to a pond.",1,0,1159.3,1192,0.0,0
56oHsMiQ8QY_v8WXRJNOt5w,STH,A_plain,"Scene change: Yes, Locations: from in the grass to in a house","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from a grassy backyard to an indoor room.",1,0,1453.0,1776,0.0,0
56oHsMiQ8QY_v8WXRJNOt5w,STH,B_cited,"Scene change: Yes, Locations: from in the grass to in a house","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.",0,0,1259.3,1420,0.0,0
5WXA1R5jCvs_5akzQ9B7na8,STH,A_plain,"Scene change: Yes, Locations: from on a bus to inside a house","scene change: yes, locations: from bus to house.","scene change: yes, locations: from a bus to a living room.","scene change: yes, locations: from a bus to a house.",1,0,1342.7,1482,0.0,0
5WXA1R5jCvs_5akzQ9B7na8,STH,B_cited,"Scene change: Yes, Locations: from on a bus to inside a house","scene change: yes, locations: from a bus to a living room.","scene change: yes, locations: from bus to house.","scene change: yes, locations: from bus to living room.",1,0,1318.7,1412,0.0,0
fSY-uG_uayI_clip_1_6,STH,A_plain,"Scene change: No, Locations: None","scene change: yes, locations: from a kitchen counter to a stove.","scene change: yes, locations: from kitchen counter to stovetop.","scene change: yes, locations: from a kitchen counter to a stove.",1,0,3221.7,5927,2.0,0
fSY-uG_uayI_clip_1_6,STH,B_cited,"Scene change: No, Locations: None","scene change: yes, locations: from a kitchen counter to a stove.","scene change: yes, locations: from kitchen counter to stovetop.","scene change: yes, locations: from kitchen counter to stove.",1,0,2113.3,3261,0.67,0
oaOdliOVL6g_clip_2_4,STH,A_plain,"Scene change: No, Locations: None","scene change: no, locations: none","scene change: no, locations: none","scene change: no, locations: none",0,3,8705.7,12031,7.67,0
oaOdliOVL6g_clip_2_4,STH,B_cited,"Scene change: No, Locations: None","scene change: no, locations: none","scene change: no, locations: none","scene change: no, locations: none",0,3,7447.0,8626,4.67,0
okJ-HfG41YQ_dIMdZ0USZsI,STH,A_plain,"Scene change: Yes, Locations: from on the side of a road to in a park","scene change: yes, locations: from a driveway to an amusement park ride.","scene change: yes, locations: from a driveway to an amusement park.","scene change: yes, locations: from driveway to amusement park.",1,0,1641.0,1841,0.0,0
okJ-HfG41YQ_dIMdZ0USZsI,STH,B_cited,"Scene change: Yes, Locations: from on the side of a road to in a park","scene change: yes, locations: from a driveway to an amusement park.","scene change: yes, locations: from a driveway to an amusement park ride.","scene change: yes, locations: from a driveway to an amusement park.",1,0,1472.7,1755,0.0,0
Fe4tO5vW9_E_clip_2_3,TSH,A_plain,BA,the correct order of actions is: 1. adding potatoes to boiling water and cooking them 2. melting butter and adding garlic,action b happens before action a.,"the user wants me to order the actions. 1. **action b (adding potatoes to boiling water and cooking them):** at the very beginning of the video (00:00 - 00:03), a man is seen holding a colander filled with yellow chunks (potatoes) over a pot on the stove. while the specific action of water boiling isn't the focus, this segment clearly deals with the potatoes being prepared/cooked. 2. **action a (melting butter and adding garlic):** starting at 00:04, the camera focuses on a pot where a stick of butter is placed. the butter melts (00:05 - 00:11), and then garlic is pressed into the melted butter (00:13 - end). therefore, the potato action happens first, followed by the butter and garlic action. action b happens before action a.",1,0,2785.0,6113,4.0,0
Fe4tO5vW9_E_clip_2_3,TSH,B_cited,BA,action b happens before action a.,action b happens before action a.,"action b happens before action a. the video begins with a man dumping a colander full of yellow chunks, which appear to be potatoes, into a pot on the stove [00:00 - 00:03], corresponding to **action b**. following this, the scene cuts to a close-up of a saucepan where a stick of butter is placed [00:04], melted [00:06 - 00:11], and then garlic is pressed into it [00:12 - 00:14], which corresponds to **action a**.",1,0,1549.3,2570,1.33,0
JNFUZz1bqmg_clip_10_7,TSH,A_plain,BA,"the video begins with a first-person perspective of someone falling from a height and landing in an inflatable boat, which corresponds to the action of skydiving (or a similar jump). following this, the video cuts to a view of metal stairs leading up a bridge structure and then shows a person walking and talking on the bridge, which corresponds to climbing stairs on a bridge. therefore, the order of actions in the video is: 1. skydiving 2. climbing stairs on a bridge skydiving happens before climbing stairs on a bridge.",,"the video shows the following sequence of events: 1. **skydiving**: from the very beginning (00:00) until about 00:05, a person is seen jumping from a height and landing in an inflatable boat. this action corresponds to skydiving (or a similar jump). 2. **climbing stairs on a bridge**: after the jump, the video cuts to a view looking up a metal staircase (00:05) and then shows a man walking and talking on the blue bridge structure (00:07 onwards). therefore, skydiving happens before climbing stairs on a bridge. skydiving happens before climbing stairs on a bridge",1,0,10475.7,14489,15.0,1
JNFUZz1bqmg_clip_10_7,TSH,B_cited,BA,"the video begins with a clip of a person falling through the air and landing in a boat, which corresponds to the action of skydiving (or a similar aerial stunt) [00:00 - 00:04]. following this, the video cuts to a point-of-view shot of someone walking up metal stairs on the bridge structure [00:04 - 00:06]. action b happens before action a.","the video begins with a shot of a person falling through the air, which corresponds to skydiving (or a base jump) [00:00 - 00:05]. following this, the video cuts to a view looking up a metal staircase on the bridge structure [00:05 - 00:07], indicating the action of climbing stairs. therefore, skydiving appears before climbing stairs in the video. action b happens before action a.","the video shows a person climbing stairs on a bridge structure. specifically, at [00:05], the camera view ascends a set of metal stairs on the blue steel framework of a bridge. the person is then seen walking on the bridge deck. there is no footage of skydiving in the provided clip. climbing stairs on a bridge",1,0,6687.3,7286,11.0,0
L4tdvpago7s_clip_3_4,TSH,A_plain,BA,"the correct order of actions is: cutting vegetables, crushing the ingredients in a food processor.",action b happens before action a.,"the correct order of actions is: 1. cutting vegetables 2. crushing the ingredients in a food processor therefore, cutting vegetables happens before crushing the ingredients in a food processor.",1,0,1005.0,1194,0.0,0
L4tdvpago7s_clip_3_4,TSH,B_cited,BA,"the video shows the following sequence of events: - first, people are seen chopping vegetables like onions and garlic on a cutting board [t=0.0s] to [t=7.0s]. this corresponds to **action b**. - next, the chopped ingredients are poured into a food processor and blended into a paste [t=8.0s] to [t=25.0s]. this corresponds to **action a**. therefore, the correct order is **action b** then **action a**.",action b happens before action a.,action b happens before action a.,1,0,1000.7,1077,0.0,0
MeHEDK_Y8sE_clip_3_5,TSH,A_plain,AB,action a happens before action b.,the correct order of actions is: 1. applying heat to hair wrapped in foil 2. spinning in front of the camera,action a happens before action b.,1,0,1004.7,1106,0.0,0
MeHEDK_Y8sE_clip_3_5,TSH,B_cited,AB,action a happens before action b.,action a happens before action b.,action a happens before action b.,0,0,915.3,1050,0.0,0
RINsqxGLQdQ_clip_2_3,TSH,A_plain,BA,"the video shows the following sequence of events: windsurfing, receiving certificates and awards.","the video shows the following actions in this order: windsurfing, receiving certificates and awards.",action b happens before action a.,1,0,1224.0,1374,0.0,0
RINsqxGLQdQ_clip_2_3,TSH,B_cited,BA,action b. windsurfing happens before action a. receiving certificates and awards.,"the video shows the following sequence of events: - **windsurfing**: the video begins with numerous clips of people, including children, windsurfing on the water [00:00 - 01:07]. - **receiving certificates and awards**: towards the end of the video, the scene shifts to an awards ceremony where children are holding certificates and wooden plaques [01:08 - 01:34]. therefore, the correct order is: windsurfing, receiving certificates and awards","the video's events are outlined chronologically below: - **00:00 - 01:08**: the video shows numerous clips of children windsurfing in the ocean. - **01:08 - 01:35**: the scene shifts to an award ceremony where children are seen holding certificates and trophies. based on this timeline, the action of windsurfing happens before receiving certificates and awards. action b happens before action a.",1,0,2072.0,2446,0.0,0
keFBEoBy0zY_clip_1_2,TSH,A_plain,AB,action a happens before action b.,action a happens before action b.,action a happens before action b.,0,0,923.7,1063,0.0,0
keFBEoBy0zY_clip_1_2,TSH,B_cited,AB,action a happens before action b.,"the video shows the following sequence of events: - **exiting a building with a snowboard**: this happens first, as the man in the yellow suit leaves his apartment and walks down the stairs with his board [t=00:06 - t=00:18]. - **snowboarding on a street**: this happens later, after he straps into his board and is towed down the snowy road [t=00:49 - t=01:11]. therefore, the correct order is: exiting a building with a snowboard, then snowboarding on a street.","the video shows the man exiting the building with his snowboard first, and then later snowboarding down the street. therefore, the correct order is: 1. exiting a building with a snowboard 2. snowboarding on a street action a happens before action b.",1,0,1054.7,1193,0.0,0
s9r-CxnCXkg_clip_4_5,TSH,A_plain,BA,the video shows the actions in the following order: 1. **serving scrambled eggs on toast** (00:06 - 00:12) 2. **whisking eggs and steaming them** (00:14 - 00:45) action b happens before action a.,action b happens before action a.,"the video presents the actions in the following order: 1. **serving scrambled eggs on toast** (00:00 - 00:13) 2. **whisking eggs and steaming them** (00:14 - 00:44) therefore, the correct order is: serving scrambled eggs on toast happens before whisking eggs and steaming them.",1,0,2735.3,3396,4.0,0
s9r-CxnCXkg_clip_4_5,TSH,B_cited,BA,action b happens before action a.,"the correct order of actions is: 1. serving scrambled eggs on toast [00:00] 2. whisking eggs and steaming them [00:14] therefore, the action that happens before is **serving scrambled eggs on toast**.",action b happens before action a.,1,0,2426.0,3924,5.0,0
